trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
10149801_090223,20:27:59,20:27:59,13237,7,0,0,3377
10149801_150223,20:27:59,20:27:59,13237,7,0,0,3377
10258909_090223,13:32:21,13:32:21,13237,11,0,0,4699
10368924_090223,14:32:48,14:32:48,12990,41,0,0,13829
10368924_150223,14:32:48,14:32:48,12990,41,0,0,13829
10368925_090223,14:43:48,14:43:48,12990,41,0,0,13829
10368925_150223,14:43:48,14:43:48,12990,41,0,0,13829
10368926_090223,14:54:48,14:54:48,12990,41,0,0,13829
10368926_150223,14:54:48,14:54:48,12990,41,0,0,13829
1039306_090223,09:22:48,09:22:48,12990,41,0,0,13829
1039306_150223,09:22:48,09:22:48,12990,41,0,0,13829
1039328_090223,12:34:48,12:34:48,12990,41,0,0,13829
1039328_150223,12:34:48,12:34:48,12990,41,0,0,13829
1039329_090223,12:42:48,12:42:48,12990,41,0,0,13829
1039329_150223,12:42:48,12:42:48,12990,41,0,0,13829
10422882_090223,13:46:59,13:46:59,12990,9,0,1,4422
1050660_090223,10:29:59,10:29:59,13237,7,0,0,3377
1050660_150223,10:29:59,10:29:59,13237,7,0,0,3377
10696803_090223,14:47:21,14:47:21,13237,11,0,0,4699
10699593_090223,13:19:59,13:19:59,13237,7,0,0,3377
10699593_150223,13:19:59,13:19:59,13237,7,0,0,3377
10699596_090223,13:49:59,13:49:59,13237,7,0,0,3377
10699596_150223,13:49:59,13:49:59,13237,7,0,0,3377
10699738_090223,14:17:38,14:17:38,12990,13,0,0,4604
1108056_090223,07:47:48,07:47:48,12990,41,0,0,13829
1108056_150223,07:47:48,07:47:48,12990,41,0,0,13829
1108080_090223,11:16:48,11:16:48,12990,41,0,0,13829
1108080_150223,11:16:48,11:16:48,12990,41,0,0,13829
1108096_090223,13:44:48,13:44:48,12990,41,0,0,13829
1108096_150223,13:44:48,13:44:48,12990,41,0,0,13829
1108109_090223,15:31:48,15:31:48,12990,41,0,0,13829
1108109_150223,15:31:48,15:31:48,12990,41,0,0,13829
1108118_090223,16:37:48,16:37:48,12990,41,0,0,13829
1108118_150223,16:37:48,16:37:48,12990,41,0,0,13829
1108138_090223,19:18:48,19:18:48,12990,41,0,0,13829
1108138_150223,19:18:48,19:18:48,12990,41,0,0,13829
11168330_090223,11:22:21,11:22:21,13237,11,0,0,4699
11170285_090223,17:03:59,17:03:59,13237,7,0,0,3377
11170285_150223,17:03:59,17:03:59,13237,7,0,0,3377
11299165_090223,18:15:59,18:15:59,13237,7,0,0,3377
11299165_150223,18:15:59,18:15:59,13237,7,0,0,3377
11307777_090223,22:31:00,22:31:00,13237,6,0,1,3379
11307791_090223,16:10:48,16:10:48,13237,6,0,1,3377
11308248_090223,12:15:59,12:15:59,13237,6,0,1,3377
11308758_090223,12:45:48,12:45:48,13237,6,0,1,3377
11308759_090223,14:10:48,14:10:48,13237,6,0,1,3377
11308760_090223,15:10:48,15:10:48,13237,6,0,1,3377
1135442_090223,10:52:48,10:52:48,12990,41,0,0,13829
1135442_150223,10:52:48,10:52:48,12990,41,0,0,13829
11373652_090223,23:30:48,23:30:48,12990,41,0,0,13829
11373652_150223,23:30:48,23:30:48,12990,41,0,0,13829
11552580_090223,07:30:48,07:30:48,13237,6,0,1,3377
11553526_090223,07:45:48,07:45:48,13237,6,0,1,3377
11553531_090223,07:22:48,07:22:48,13237,6,0,1,3377
11553532_090223,07:34:48,07:34:48,13237,6,0,1,3377
11590284_090223,13:22:59,13:22:59,13237,6,0,1,3377
11590285_090223,13:34:59,13:34:59,13237,6,0,1,3377
11590287_090223,13:58:59,13:58:59,13237,6,0,1,3377
11590288_090223,14:22:59,14:22:59,13237,6,0,1,3377
11590289_090223,14:34:59,14:34:59,13237,6,0,1,3377
11590291_090223,14:58:59,14:58:59,13237,6,0,1,3377
11630565_090223,06:37:59,06:37:59,12990,14,0,0,5601
11676807_090223,18:02:48,18:02:48,12990,41,0,0,13829
11676807_150223,18:02:48,18:02:48,12990,41,0,0,13829
11748670_090223,09:51:59,09:51:59,12990,11,0,1,4422
11748675_090223,11:36:59,11:36:59,12990,11,0,1,4422
11748676_090223,11:56:59,11:56:59,12990,11,0,1,4422
11823199_090223,07:22:08,07:22:08,12990,11,0,1,6337
11823209_090223,08:22:08,08:22:08,12990,11,0,1,6337
11823219_090223,09:22:08,09:22:08,12990,11,0,1,6337
11823229_090223,10:22:08,10:22:08,12990,11,0,1,6337
11823234_090223,11:22:08,11:22:08,12990,11,0,1,6337
11823239_090223,12:22:08,12:22:08,12990,11,0,1,6337
11823244_090223,13:22:08,13:22:08,12990,11,0,1,6337
11823254_090223,14:22:08,14:22:08,12990,11,0,1,6337
11823264_090223,15:22:08,15:22:08,12990,11,0,1,6337
11823274_090223,16:22:08,16:22:08,12990,11,0,1,6337
11823284_090223,17:22:08,17:22:08,12990,11,0,1,6337
11823289_090223,18:02:08,18:02:08,12990,11,0,1,6337
11823294_090223,18:22:08,18:22:08,12990,11,0,1,6337
11823304_090223,19:22:08,19:22:08,12990,11,0,1,6337
11823309_090223,20:07:08,20:07:08,12990,11,0,1,6337
11823314_090223,20:52:08,20:52:08,12990,11,0,1,6337
11823319_090223,21:52:08,21:52:08,12990,11,0,1,6337
1185298_090223,01:32:59,01:32:59,13237,22,0,0,9763
1185299_090223,02:02:59,02:02:59,13237,22,0,0,9763
1185300_090223,02:32:59,02:32:59,13237,22,0,0,9763
1185301_090223,03:02:59,03:02:59,13237,22,0,0,9763
1185302_090223,03:32:59,03:32:59,13237,22,0,0,9763
1185303_090223,04:02:59,04:02:59,13237,22,0,0,9763
11878200_090223,07:19:06,07:19:06,12990,20,0,0,7060
11879353_090223,08:12:48,08:12:48,12990,41,0,0,13829
11879353_150223,08:12:48,08:12:48,12990,41,0,0,13829
11879368_090223,11:06:48,11:06:48,12990,41,0,0,13829
11879368_150223,11:06:48,11:06:48,12990,41,0,0,13829
11890750_090223,13:23:04,13:23:04,12990,46,0,0,17187
11890751_090223,13:43:04,13:43:04,12990,46,0,0,17187
11890752_090223,14:03:04,14:03:04,12990,46,0,0,17187
12030545_090223,17:57:06,17:57:06,12990,20,0,0,7060
12450036_090223,12:52:21,12:52:21,13237,11,0,0,4699
12452668_090223,06:49:48,06:49:48,12990,41,0,0,13829
12452668_150223,06:49:48,06:49:48,12990,41,0,0,13829
12453660_090223,12:45:59,12:45:59,13237,7,0,0,3377
12453660_150223,12:45:59,12:45:59,13237,7,0,0,3377
12491205_090223,05:21:59,05:21:59,13237,28,0,0,13290
12491205_150223,05:21:59,05:21:59,13237,28,0,0,13290
12491212_090223,06:34:59,06:34:59,13237,28,0,0,13290
12491212_150223,06:34:59,06:34:59,13237,28,0,0,13290
12491218_090223,07:16:59,07:16:59,13237,28,0,0,13290
12491218_150223,07:16:59,07:16:59,13237,28,0,0,13290
12491226_090223,07:56:59,07:56:59,13237,28,0,0,13290
12491226_150223,07:56:59,07:56:59,13237,28,0,0,13290
12491227_090223,08:01:59,08:01:59,13237,28,0,0,13290
12491227_150223,08:01:59,08:01:59,13237,28,0,0,13290
12491228_150223,08:06:59,08:06:59,13237,28,0,0,13290
12491229_150223,08:11:59,08:11:59,13237,28,0,0,13290
12491234_090223,08:41:59,08:41:59,13237,28,0,0,13290
12491271_090223,12:46:59,12:46:59,13237,28,0,0,13290
12491271_150223,12:46:59,12:46:59,13237,28,0,0,13290
12491276_090223,13:21:59,13:21:59,13237,28,0,0,13290
12491276_150223,13:21:59,13:21:59,13237,28,0,0,13290
12491280_090223,13:47:59,13:47:59,13237,28,0,0,13290
12491280_150223,13:47:59,13:47:59,13237,28,0,0,13290
12491289_090223,14:47:59,14:47:59,13237,28,0,0,13290
12491289_150223,14:47:59,14:47:59,13237,28,0,0,13290
12491306_090223,16:31:59,16:31:59,13237,28,0,0,13290
12491306_150223,16:31:59,16:31:59,13237,28,0,0,13290
12491308_090223,16:41:59,16:41:59,13237,28,0,0,13290
12491308_150223,16:41:59,16:41:59,13237,28,0,0,13290
12491351_150223,21:31:59,21:31:59,13237,28,0,0,13290
12491363_150223,23:21:59,23:21:59,13237,28,0,0,13290
12491364_150223,23:36:59,23:36:59,13237,28,0,0,13290
12491365_090223,23:51:59,23:51:59,13237,28,0,0,13290
12491365_150223,23:51:59,23:51:59,13237,28,0,0,13290
12491366_090223,24:06:59,24:06:59,13237,28,0,0,13290
12491366_150223,24:06:59,24:06:59,13237,28,0,0,13290
12491367_090223,24:21:59,24:21:59,13237,28,0,0,13290
12491367_150223,24:21:59,24:21:59,13237,28,0,0,13290
12492027_090223,06:11:59,06:11:59,13237,28,0,0,13290
12492027_150223,06:11:59,06:11:59,13237,28,0,0,13290
12492031_090223,07:05:59,07:05:59,13237,28,0,0,13290
12492031_150223,07:05:59,07:05:59,13237,28,0,0,13290
12492039_150223,08:41:59,08:41:59,13237,28,0,0,13290
12492041_090223,09:05:59,09:05:59,13237,28,0,0,13290
12492041_150223,09:05:59,09:05:59,13237,28,0,0,13290
12492043_090223,09:29:59,09:29:59,13237,28,0,0,13290
12492043_150223,09:29:59,09:29:59,13237,28,0,0,13290
12492045_090223,09:53:59,09:53:59,13237,28,0,0,13290
12492045_150223,09:53:59,09:53:59,13237,28,0,0,13290
12492047_090223,10:17:59,10:17:59,13237,28,0,0,13290
12492047_150223,10:17:59,10:17:59,13237,28,0,0,13290
12492049_090223,10:41:59,10:41:59,13237,28,0,0,13290
12492049_150223,10:41:59,10:41:59,13237,28,0,0,13290
12492053_090223,11:29:59,11:29:59,13237,28,0,0,13290
12492053_150223,11:29:59,11:29:59,13237,28,0,0,13290
12492054_090223,11:41:59,11:41:59,13237,28,0,0,13290
12492054_150223,11:41:59,11:41:59,13237,28,0,0,13290
12492055_090223,11:53:59,11:53:59,13237,28,0,0,13290
12492055_150223,11:53:59,11:53:59,13237,28,0,0,13290
12492056_090223,12:05:59,12:05:59,13237,28,0,0,13290
12492056_150223,12:05:59,12:05:59,13237,28,0,0,13290
12492057_090223,12:17:59,12:17:59,13237,28,0,0,13290
12492057_150223,12:17:59,12:17:59,13237,28,0,0,13290
12492060_090223,12:53:59,12:53:59,13237,28,0,0,13290
12492060_150223,12:53:59,12:53:59,13237,28,0,0,13290
12492061_090223,13:05:59,13:05:59,13237,28,0,0,13290
12492061_150223,13:05:59,13:05:59,13237,28,0,0,13290
12492062_090223,13:17:59,13:17:59,13237,28,0,0,13290
12492062_150223,13:17:59,13:17:59,13237,28,0,0,13290
12492063_090223,13:29:59,13:29:59,13237,28,0,0,13290
12492063_150223,13:29:59,13:29:59,13237,28,0,0,13290
12492075_090223,15:56:59,15:56:59,13237,28,0,0,13290
12492075_150223,15:56:59,15:56:59,13237,28,0,0,13290
12492171_090223,05:59:59,05:59:59,13237,7,0,0,3377
12492171_150223,05:59:59,05:59:59,13237,7,0,0,3377
12492176_090223,06:41:59,06:41:59,13237,7,0,0,3377
12492176_150223,06:41:59,06:41:59,13237,7,0,0,3377
12492183_150223,07:36:59,07:36:59,13237,7,0,0,3377
12492189_090223,08:18:59,08:18:59,13237,7,0,0,3377
12492211_090223,11:57:59,11:57:59,13237,7,0,0,3377
12492211_150223,11:57:59,11:57:59,13237,7,0,0,3377
12492217_090223,12:57:59,12:57:59,13237,7,0,0,3377
12492217_150223,12:57:59,12:57:59,13237,7,0,0,3377
12492219_090223,13:21:59,13:21:59,13237,7,0,0,3377
12492219_150223,13:21:59,13:21:59,13237,7,0,0,3377
12492262_090223,20:04:59,20:04:59,13237,7,0,0,3377
12492262_150223,20:04:59,20:04:59,13237,7,0,0,3377
12492264_090223,20:24:59,20:24:59,13237,7,0,0,3377
12492264_150223,20:24:59,20:24:59,13237,7,0,0,3377
12492279_090223,23:59:59,23:59:59,13237,7,0,0,3377
12492279_150223,23:59:59,23:59:59,13237,7,0,0,3377
12492741_090223,06:14:59,06:14:59,13237,7,0,0,3377
12492741_150223,06:14:59,06:14:59,13237,7,0,0,3377
12492743_090223,06:44:59,06:44:59,13237,7,0,0,3377
12492743_150223,06:44:59,06:44:59,13237,7,0,0,3377
12492744_090223,06:59:59,06:59:59,13237,7,0,0,3377
12492744_150223,06:59:59,06:59:59,13237,7,0,0,3377
12516094_090223,08:28:48,08:28:48,12990,41,0,0,13829
12516094_150223,08:28:48,08:28:48,12990,41,0,0,13829
12516726_090223,10:39:48,10:39:48,12990,41,0,0,13829
12516726_150223,10:39:48,10:39:48,12990,41,0,0,13829
12516746_090223,13:57:48,13:57:48,12990,41,0,0,13829
12516746_150223,13:57:48,13:57:48,12990,41,0,0,13829
12523614_090223,10:29:38,10:29:38,12990,13,0,0,4604
12523617_090223,11:05:38,11:05:38,12990,13,0,0,4604
12523668_090223,20:11:38,20:11:38,12990,13,0,0,4604
12526607_090223,13:49:08,13:49:08,12990,38,0,0,12963
12526609_090223,14:19:08,14:19:08,12990,38,0,0,12963
12526977_090223,12:24:08,12:24:08,12990,38,0,0,12963
12929963_090223,11:39:08,11:39:08,12990,38,0,0,12963
13044578_090223,17:42:59,17:42:59,13237,7,0,0,3377
13044578_150223,17:42:59,17:42:59,13237,7,0,0,3377
13074514_090223,17:10:48,17:10:48,13237,6,0,1,3377
13217320_090223,09:11:59,09:11:59,13237,7,0,0,3377
13217320_150223,09:11:59,09:11:59,13237,7,0,0,3377
13219691_090223,09:15:38,09:15:38,12990,13,0,0,4604
13219732_090223,16:44:38,16:44:38,12990,13,0,0,4604
13221089_090223,06:19:59,06:19:59,13237,28,0,0,13290
13221089_150223,06:19:59,06:19:59,13237,28,0,0,13290
13221093_090223,06:55:59,06:55:59,13237,28,0,0,13290
13221093_150223,06:55:59,06:55:59,13237,28,0,0,13290
13221094_090223,07:02:59,07:02:59,13237,28,0,0,13290
13221094_150223,07:02:59,07:02:59,13237,28,0,0,13290
13221095_090223,07:09:59,07:09:59,13237,28,0,0,13290
13221095_150223,07:09:59,07:09:59,13237,28,0,0,13290
13221135_090223,11:07:59,11:07:59,13237,28,0,0,13290
13221135_150223,11:07:59,11:07:59,13237,28,0,0,13290
13221139_090223,11:31:59,11:31:59,13237,28,0,0,13290
13221139_150223,11:31:59,11:31:59,13237,28,0,0,13290
13224938_090223,15:34:08,15:34:08,12990,38,0,0,12963
13268702_090223,19:09:06,19:09:06,12990,20,0,0,7060
13271938_090223,12:20:48,12:20:48,12990,41,0,0,13829
13271938_150223,12:20:48,12:20:48,12990,41,0,0,13829
13272002_090223,22:26:48,22:26:48,12990,41,0,0,13829
13272002_150223,22:26:48,22:26:48,12990,41,0,0,13829
13272942_090223,14:43:04,14:43:04,12990,46,0,0,17187
13272969_090223,21:45:59,21:45:59,12990,49,0,0,17589
13273814_090223,15:45:59,15:45:59,13237,7,0,0,3377
13273814_150223,15:45:59,15:45:59,13237,7,0,0,3377
13274220_090223,14:12:38,14:12:38,12990,13,0,0,4604
13274240_090223,18:02:38,18:02:38,12990,13,0,0,4604
13343537_090223,14:52:08,14:52:08,12990,11,0,1,6337
13373532_090223,15:21:59,15:21:59,13237,7,0,0,3377
13373532_150223,15:21:59,15:21:59,13237,7,0,0,3377
13543458_090223,22:16:59,22:16:59,12990,9,0,1,4422
13597680_090223,09:07:08,09:07:08,12990,38,0,0,12963
13656438_090223,12:21:59,12:21:59,13237,7,0,0,3377
13656438_150223,12:21:59,12:21:59,13237,7,0,0,3377
13969573_090223,17:31:06,17:31:06,12990,20,0,0,7060
13992293_090223,12:36:48,12:36:48,12990,41,0,0,13829
13992293_150223,12:36:48,12:36:48,12990,41,0,0,13829
14007212_090223,16:53:38,16:53:38,12990,13,0,0,4604
14079254_090223,19:34:38,19:34:38,12990,13,0,0,4604
14079258_090223,20:38:38,20:38:38,12990,13,0,0,4604
14081107_090223,06:46:08,06:46:08,12990,38,0,0,12963
14237926_090223,06:59:59,06:59:59,12990,14,0,0,5601
14237943_090223,10:09:59,10:09:59,12990,14,0,0,5601
14237943_150223,10:09:59,10:09:59,12990,14,0,0,5601
14237944_090223,10:24:59,10:24:59,12990,14,0,0,5601
14237944_150223,10:24:59,10:24:59,12990,14,0,0,5601
14237945_090223,10:39:59,10:39:59,12990,14,0,0,5601
14237945_150223,10:39:59,10:39:59,12990,14,0,0,5601
14237951_090223,12:15:59,12:15:59,12990,14,0,0,5601
14237951_150223,12:15:59,12:15:59,12990,14,0,0,5601
14272455_090223,23:36:00,23:36:00,13237,6,0,1,3379
14272461_090223,24:00:48,24:00:48,13237,6,0,1,3377
14350214_090223,11:24:59,11:24:59,12990,14,0,0,5601
14350214_150223,11:24:59,11:24:59,12990,14,0,0,5601
14428782_090223,19:21:59,19:21:59,13237,28,0,0,13290
14428782_150223,19:21:59,19:21:59,13237,28,0,0,13290
14428783_090223,19:41:59,19:41:59,13237,28,0,0,13290
14428783_150223,19:41:59,19:41:59,13237,28,0,0,13290
14428784_090223,20:01:59,20:01:59,13237,28,0,0,13290
14428784_150223,20:01:59,20:01:59,13237,28,0,0,13290
14428785_090223,20:21:59,20:21:59,13237,28,0,0,13290
14428785_150223,20:21:59,20:21:59,13237,28,0,0,13290
14428786_090223,20:41:59,20:41:59,13237,28,0,0,13290
14428786_150223,20:41:59,20:41:59,13237,28,0,0,13290
14428787_090223,21:01:59,21:01:59,13237,28,0,0,13290
14428787_150223,21:01:59,21:01:59,13237,28,0,0,13290
14428788_090223,21:21:59,21:21:59,13237,28,0,0,13290
14428788_150223,21:21:59,21:21:59,13237,28,0,0,13290
14428789_150223,21:41:59,21:41:59,13237,28,0,0,13290
14428790_090223,22:01:59,22:01:59,13237,28,0,0,13290
14428790_150223,22:01:59,22:01:59,13237,28,0,0,13290
14428791_090223,22:21:59,22:21:59,13237,28,0,0,13290
14428791_150223,22:21:59,22:21:59,13237,28,0,0,13290
14428792_090223,22:41:59,22:41:59,13237,28,0,0,13290
14428792_150223,22:41:59,22:41:59,13237,28,0,0,13290
14428793_090223,23:01:59,23:01:59,13237,28,0,0,13290
14428793_150223,23:01:59,23:01:59,13237,28,0,0,13290
14428794_090223,23:21:59,23:21:59,13237,28,0,0,13290
14428795_090223,23:41:59,23:41:59,13237,28,0,0,13290
14428795_150223,23:41:59,23:41:59,13237,28,0,0,13290
14428796_090223,24:01:59,24:01:59,13237,28,0,0,13290
14428796_150223,24:01:59,24:01:59,13237,28,0,0,13290
14430210_090223,20:29:08,20:29:08,12990,38,0,0,12963
14460786_090223,08:02:08,08:02:08,12990,11,0,1,6337
14460919_090223,07:42:08,07:42:08,12990,11,0,1,6337
14460924_090223,17:42:08,17:42:08,12990,11,0,1,6337
14939645_090223,06:24:59,06:24:59,12990,14,0,0,5601
14939645_150223,06:24:59,06:24:59,12990,14,0,0,5601
14939647_150223,06:44:59,06:44:59,12990,14,0,0,5601
14939709_090223,20:24:59,20:24:59,12990,14,0,0,5601
14939709_150223,20:24:59,20:24:59,12990,14,0,0,5601
15102678_090223,14:52:38,14:52:38,12990,13,0,0,4604
15172897_090223,13:24:59,13:24:59,12990,14,0,0,5601
15172897_150223,13:24:59,13:24:59,12990,14,0,0,5601
15186524_090223,06:22:38,06:22:38,12990,13,0,0,4604
15186529_090223,07:53:38,07:53:38,12990,13,0,0,4604
15186565_090223,15:02:38,15:02:38,12990,13,0,0,4604
15186566_090223,15:12:38,15:12:38,12990,13,0,0,4604
15186602_090223,22:37:38,22:37:38,12990,13,0,0,4604
15445804_090223,07:19:08,07:19:08,12990,38,0,0,12963
15750555_090223,17:30:38,17:30:38,12990,13,0,0,4604
15753455_090223,07:25:08,07:25:08,12990,38,0,0,12963
15837785_090223,12:04:59,12:04:59,12990,14,0,0,5601
15837785_150223,12:04:59,12:04:59,12990,14,0,0,5601
15837786_090223,12:24:59,12:24:59,12990,14,0,0,5601
15837786_150223,12:24:59,12:24:59,12990,14,0,0,5601
15837792_090223,14:34:59,14:34:59,12990,14,0,0,5601
15837792_150223,14:34:59,14:34:59,12990,14,0,0,5601
16022801_090223,08:31:59,08:31:59,13237,28,0,0,13290
16022803_090223,08:46:59,08:46:59,13237,28,0,0,13290
16022867_090223,15:55:59,15:55:59,13237,28,0,0,13290
16022867_150223,15:55:59,15:55:59,13237,28,0,0,13290
16022890_090223,18:22:59,18:22:59,13237,28,0,0,13290
16022890_150223,18:22:59,18:22:59,13237,28,0,0,13290
16177549_090223,18:12:21,18:12:21,13237,11,0,0,4699
16670243_090223,23:15:59,23:15:59,12990,49,0,0,17589
16670332_090223,00:14:59,00:14:59,13237,7,0,0,3377
16670332_150223,00:14:59,00:14:59,13237,7,0,0,3377
16670371_150223,21:06:59,21:06:59,13237,28,0,0,13290
16670373_090223,21:41:59,21:41:59,13237,28,0,0,13290
16712539_090223,16:07:06,16:07:06,12990,20,0,0,7060
16712552_090223,19:29:06,19:29:06,12990,20,0,0,7060
16712554_090223,20:14:06,20:14:06,12990,20,0,0,7060
16994540_150223,08:07:59,08:07:59,13237,28,0,0,13290
16994542_090223,08:33:59,08:33:59,13237,28,0,0,13290
17021742_090223,07:29:59,07:29:59,13237,7,0,0,3377
17021742_150223,07:29:59,07:29:59,13237,7,0,0,3377
17021747_090223,08:49:59,08:49:59,13237,7,0,0,3377
17021747_150223,08:49:59,08:49:59,13237,7,0,0,3377
17021757_090223,11:34:59,11:34:59,13237,7,0,0,3377
17021757_150223,11:34:59,11:34:59,13237,7,0,0,3377
17039706_090223,10:57:48,10:57:48,12990,41,0,0,13829
17039706_150223,10:57:48,10:57:48,12990,41,0,0,13829
17329556_090223,07:15:50,07:15:50,41662,32,0,1,12990
17329561_090223,09:30:50,09:30:50,41662,32,0,1,12990
17329566_090223,11:30:50,11:30:50,41662,32,0,1,12990
17329571_090223,14:00:50,14:00:50,41662,32,0,1,12990
17329576_090223,15:15:50,15:15:50,41662,32,0,1,12990
17329581_090223,18:30:50,18:30:50,41662,32,0,1,12990
17329586_090223,20:00:50,20:00:50,41662,32,0,1,12990
17329591_090223,21:00:50,21:00:50,41662,32,0,1,12990
17329596_090223,22:00:50,22:00:50,41662,32,0,1,12990
17394828_090223,24:22:48,24:22:48,12990,41,0,0,13829
17394828_150223,24:22:48,24:22:48,12990,41,0,0,13829
17454308_090223,15:47:38,15:47:38,12990,13,0,0,4604
17454665_090223,13:11:59,13:11:59,13237,28,0,0,13290
17454665_150223,13:11:59,13:11:59,13237,28,0,0,13290
17454667_090223,13:26:59,13:26:59,13237,28,0,0,13290
17454667_150223,13:26:59,13:26:59,13237,28,0,0,13290
17454676_090223,14:29:59,14:29:59,13237,28,0,0,13290
17454676_150223,14:29:59,14:29:59,13237,28,0,0,13290
17454682_090223,15:13:59,15:13:59,13237,28,0,0,13290
17454682_150223,15:13:59,15:13:59,13237,28,0,0,13290
17454699_090223,17:01:59,17:01:59,13237,28,0,0,13290
17454699_150223,17:01:59,17:01:59,13237,28,0,0,13290
17454718_090223,19:10:59,19:10:59,13237,28,0,0,13290
17454719_090223,19:17:59,19:17:59,13237,28,0,0,13290
17455678_090223,17:34:08,17:34:08,12990,38,0,0,12963
17547710_090223,19:57:48,19:57:48,12990,41,0,0,13829
17547710_150223,19:57:48,19:57:48,12990,41,0,0,13829
17549143_090223,05:29:59,05:29:59,13237,7,0,0,3377
17549143_150223,05:29:59,05:29:59,13237,7,0,0,3377
17579619_090223,23:00:50,23:00:50,41662,32,0,1,12990
17615788_090223,06:51:00,06:51:00,13237,6,0,1,3379
17615789_090223,07:56:00,07:56:00,13237,6,0,1,3379
17615790_090223,08:16:00,08:16:00,13237,6,0,1,3379
17615811_090223,07:25:48,07:25:48,13237,6,0,1,3377
17616437_090223,08:35:59,08:35:59,13237,6,0,1,3377
17653094_090223,08:06:59,08:06:59,12990,11,0,1,4422
